,Text,Timestamp,Platform,Hashtags,Retweets,Likes,Country,MappedSentiment,Platform_encoded_1,Platform_encoded_2,SentimentEncoded,Country_encoded
220,melanchol symphoni play background soundtrack wist heart,2019-03-25 21:00:00,twitter,"Melancholy, WistfulHeart",13,26,canada,Negative,0,1,0,1
221,flip page old yearbook nostalgia paint smile tear face,2017-06-18 14:45:00,instagram,"Nostalgia, YearbookMemories",12,25,india,Neutral,1,0,1,2
222,torn oppos emot ambival color decis shade uncertainti,2022-07-08 11:30:00,facebook,"Ambivalence, ShadesOfUncertainty",15,30,australia,Neutral,0,0,1,0
223,embrac life imperfect find accept journey scar,2023-05-15 16:20:00,twitter,"Acceptance, ImperfectJourney",18,36,canada,Neutral,0,1,1,1
224,fieri determin burn within fuel vision reach unparallel height,2021-09-10 14:45:00,instagram,"Determination, UnparalleledHeights",20,40,uk,Other,1,0,2,4
225,bask seren quiet forest whisper natur bring peac soul,2020-02-28 18:30:00,facebook,"Serenity, NatureWhispers",25,50,usa,Other,0,0,2,5
226,indiffer nois world silent observ midst life cacophoni,2023-03-10 16:30:00,instagram,"Indifference, SilentObserver",9,18,india,Neutral,1,0,1,2
227,navig labyrinth thought confus constant companion maze idea,2021-05-02 11:45:00,facebook,"Confusion, ThoughtLabyrinth",14,28,australia,Negative,0,0,0,0
228,impenetr numb shield emot storm fortress stoic resili,2019-10-18 14:30:00,twitter,"Numbness, StoicResilience",11,22,uk,Negative,0,1,0,4
229,melancholi paint world hue nostalgia canva bittersweet memori,2020-01-05 20:00:00,instagram,"Melancholy, BittersweetMemories",13,26,usa,Negative,1,0,0,5
230,journey past flip page old diari nostalgia take lead,2018-08-10 15:45:00,facebook,"Nostalgia, DiaryJourney",12,25,canada,Neutral,0,0,1,1
231,ambival cloud decis caught crossroad conflict emot,2022-01-15 10:30:00,twitter,"Ambivalence, ConflictingEmotions",15,30,india,Neutral,0,1,1,2
232,embrac imperfect find accept mosaic life beauti chao,2021-07-20 16:20:00,instagram,"Acceptance, BeautifulChaos",18,36,australia,Neutral,1,0,1,0
233,determin drive forc propel forward path extraordinari achiev,2019-12-03 13:45:00,facebook,"Determination, ExtraordinaryPath",20,40,usa,Other,0,0,2,5
234,seek seren melodi raindrop tranquil escap nois everyday life,2020-04-12 19:30:00,twitter,"Serenity, RaindropMelody",25,50,canada,Other,0,1,2,1
235,curios drive explor unknown seeker knowledg unchart territori,2022-05-08 08:45:00,instagram,"Curiosity, SeekerOfKnowledge",22,45,uk,Neutral,1,0,1,4
236,drift day air nonchal indiffer trivial life,2023-02-22 17:00:00,facebook,"Indifference, DriftingThroughLife",9,18,india,Neutral,0,0,1,2
237,lost labyrinth thought confus cast shadow quest clariti,2020-06-05 12:15:00,twitter,"Confusion, LabyrinthOfThoughts",14,28,australia,Negative,0,1,0,0
238,wrap cloak emot numb shield storm life turbul,2021-11-30 15:30:00,instagram,"Numbness, EmotionalStorms",10,20,canada,Negative,1,0,0,1
239,melancholi companion paint canva life brushstrok wist yearn,2019-02-25 21:00:00,facebook,"Melancholy, WistfulYearning",13,26,uk,Negative,0,0,0,4
240,leaf page old photo album nostalgia weav tale laughter tear,2017-05-18 14:45:00,twitter,"Nostalgia, PhotoAlbumStories",12,25,usa,Neutral,0,1,1,5
241,ambival air caught crossroad conflict emot decis,2022-08-05 11:30:00,instagram,"Ambivalence, CrossroadsConfusion",15,30,canada,Neutral,1,0,1,1
242,embrac beauti imperfect find accept mosaic life unpredict art,2023-06-15 16:20:00,facebook,"Acceptance, UnpredictableArt",18,36,australia,Neutral,0,0,1,0
243,determin ablaz forg path challeng sculpt dream tangibl realiti,2021-10-10 14:45:00,twitter,"Determination, SculptingDreams",20,40,uk,Other,0,1,2,4
244,immers seren moonlit night quiet whisper natur bring peac soul,2020-05-12 19:30:00,instagram,"Serenity, MoonlitPeace",25,50,usa,Other,1,0,2,5
245,fuel curios ventur unchart realm fearless explor mysteri world,2022-12-01 09:15:00,facebook,"Curiosity, FearlessExplorer",22,44,india,Neutral,0,0,1,2
246,wrap cloak emot numb shield storm life turbul,2021-11-30 15:30:00,instagram,"Numbness, EmotionalStorms",10,20,canada,Negative,1,0,0,1
247,danc life exuber carefre spirit embrac joy zest everi turn,2018-07-12 17:45:00,twitter,"Zest, CarefreeSpirit",15,30,usa,Other,0,1,2,5
248,bask golden glow content seren river flow landscap heart,2020-09-05 20:10:00,facebook,"Contentment, GoldenGlow",18,36,australia,Positive,0,0,3,0
249,gaze toward horizon hope eye paint canva dream illumin sun optim,2022-04-18 08:00:00,instagram,"Hopeful, CanvasOfDreams",12,24,india,Positive,1,0,3,2
250,stand tall proud oak branch achiev reach toward sky accomplish,2019-12-10 12:20:00,twitter,"Proud, BranchesOfAchievement",25,50,canada,Positive,0,1,3,1
251,heart overflow gratitud garden appreci bloom soil kind connect,2023-02-28 09:45:00,facebook,"Grateful, BlossomingConnection",20,40,usa,Positive,0,0,3,5
252,extend hand empathet thread weav tapestri understand embrac joy sorrow other,2018-04-03 14:15:00,instagram,"Empathetic, TapestryOfUnderstanding",15,30,uk,Other,1,0,2,4
253,compassion cloud heavi care shower empathi parch ground human suffer,2022-06-20 10:30:00,twitter,"Compassionate, ShowerOfEmpathy",18,36,australia,Neutral,0,1,1,0
254,play danc rain laughter whimsic spirit twirl puddl joy lighthearted,2020-07-08 18:00:00,facebook,"Playful, DanceInTheRain",22,44,canada,Positive,0,0,3,1
255,soar wing free spirit unburden chain conform paint sky independ,2021-08-15 11:10:00,instagram,"FreeSpirit, PaintingTheSky",20,40,india,Other,1,0,2,2
256,bath glow inspir creativ phoenix rise ash ordinari thought explor new realm,2019-10-25 16:50:00,twitter,"Inspired, CreativePhoenix",15,30,uk,Neutral,0,1,1,4
257,navig sea hope sail toward sunris possibl confid ship posit anticip,2023-10-05 07:30:00,facebook,"Hopeful, SunriseOfPossibilities",12,24,usa,Positive,0,0,3,5
258,stride confid footprint imprint sand challeng conquer victori claim,2022-02-15 13:15:00,instagram,"Confident, FootprintsOfAssuredness",25,50,australia,Other,1,0,2,0
259,lost symphoni night moonlit serenad whisper tale wanderlust moonlit dream,2021-05-08 22:00:00,twitter,"Serenity, MoonlitSerenade",13,26,canada,Other,0,1,2,1
260,unveil layer curios labyrinth question lead treasur trove undiscov knowledg,2020-11-29 14:45:00,instagram,"Curiosity, LabyrinthOfQuestions",17,34,usa,Neutral,1,0,1,5
261,embrac autumn breez leav ambival danc waltz choic uncertainti,2019-09-14 10:20:00,facebook,"Ambivalence, AutumnWaltz",14,28,uk,Neutral,0,0,1,4
262,gratitud guid star navig constel bless vast univers life preciou moment,2022-03-12 19:55:00,twitter,"Grateful, GuidingStar",19,38,australia,Positive,0,1,3,0
263,zest heart sprint field enthusiasm chase sunbeam laughter meadow joy,2023-03-30 16:30:00,instagram,"Zest, FieldsOfEnthusiasm",16,32,india,Other,1,0,2,2
264,compassion rain tear empathi fall gentli nurtur seed kind garden human connect,2021-07-01 12:10:00,facebook,"Compassionate, TearsOfEmpathy",21,42,canada,Neutral,0,0,1,1
265,proudli scale peak achiev mountain conquer challeng plant flag success,2020-01-05 08:45:00,twitter,"Proud, ScalingPeaks",23,46,usa,Positive,0,1,3,5
266,embrac hope dawn garden sow seed optim tend bloom brighter tomorrow,2022-07-17 06:15:00,instagram,"Hopeful, SeedsOfOptimism",14,28,uk,Positive,1,0,3,4
267,play escapad carniv life carousel laughter cotton candi dream swirl joyou atmospher,2018-08-22 17:20:00,facebook,"Playful, CarnivalEscapade",24,48,australia,Positive,0,0,3,0
268,float cloud inspir artist paint sky stroke creativ creat masterpiec dream,2021-12-08 14:30:00,twitter,"Inspired, CloudsOfCreativity",18,36,india,Neutral,0,1,1,2
269,navig river content seren boat cruis tranquil water inner peac accept,2019-04-27 09:50:00,instagram,"Contentment, TranquilWaters",20,40,canada,Positive,1,0,3,1
270,empathi lantern wander dark alley sorrow illumin path compass care,2023-09-03 21:40:00,facebook,"Empathetic, LanternOfCompassion",16,32,usa,Other,0,0,2,5
271,free spirit soar wing dream leav trail independ azur sky boundless possibl,2020-06-10 10:05:00,twitter,"FreeSpirit, WingsOfDreams",22,44,uk,Other,0,1,2,4
272,bath golden hue grate sunset appreci cast warm glow landscap heart,2022-04-01 18:30:00,instagram,"Grateful, GoldenHues",19,38,australia,Positive,1,0,3,0
273,confid stride danc life ballroom lead twirl challeng grace,2021-01-15 13:00:00,facebook,"Confident, DanceOfLife",23,46,canada,Other,0,0,2,1
274,hope whisper wind carri promis brighter tomorrow symphoni optim air possibl,2023-05-06 07:20:00,twitter,"Hopeful, BrighterTomorrows",15,30,india,Positive,0,1,3,2
275,play juggl respons circu perform balanc act work joy toss laughter air,2019-11-18 15:15:00,instagram,"Playful, JugglingResponsibilities",25,50,usa,Positive,1,0,3,5
276,whisper tale inspir star storytel craft constel thread imagin,2020-08-29 20:45:00,facebook,"Inspired, TalesToTheStars",14,28,uk,Neutral,0,0,1,4
277,chart cours wave hope anticip sailor steer toward shore dream yet unexplor,2022-10-30 11:40:00,twitter,"Hopeful, SailorOfDreams",17,34,australia,Positive,0,1,3,0
278,compassion rain tear empathi fall gentli nurtur seed kind garden human connect,2021-07-01 12:10:00,instagram,"Compassionate, TearsOfEmpathy",21,42,canada,Neutral,1,0,1,1
279,proudli scale peak achiev mountain conquer challeng plant flag success,2020-01-05 08:45:00,twitter,"Proud, ScalingPeaks",23,46,usa,Positive,0,1,3,5
280,embrac hope dawn garden sow seed optim tend bloom brighter tomorrow,2022-07-17 06:15:00,instagram,"Hopeful, SeedsOfOptimism",14,28,uk,Positive,1,0,3,4
281,play escapad carniv life carousel laughter cotton candi dream swirl joyou atmospher,2018-08-22 17:20:00,facebook,"Playful, CarnivalEscapade",24,48,australia,Positive,0,0,3,0
282,float cloud inspir artist paint sky stroke creativ creat masterpiec dream,2021-12-08 14:30:00,twitter,"Inspired, CloudsOfCreativity",18,36,india,Neutral,0,1,1,2
283,navig river content seren boat cruis tranquil water inner peac accept,2019-04-27 09:50:00,instagram,"Contentment, TranquilWaters",20,40,canada,Positive,1,0,3,1
284,empathi lantern wander dark alley sorrow illumin path compass care,2023-09-03 21:40:00,facebook,"Empathetic, LanternOfCompassion",16,32,usa,Other,0,0,2,5
285,free spirit soar wing dream leav trail independ azur sky boundless possibl,2020-06-10 10:05:00,twitter,"FreeSpirit, WingsOfDreams",22,44,uk,Other,0,1,2,4
286,bath golden hue grate sunset appreci cast warm glow landscap heart,2022-04-01 18:30:00,instagram,"Grateful, GoldenHues",19,38,australia,Positive,1,0,3,0
287,confid stride danc life ballroom lead twirl challeng grace,2021-01-15 13:00:00,facebook,"Confident, DanceOfLife",23,46,canada,Other,0,0,2,1
288,hope whisper wind carri promis brighter tomorrow symphoni optim air possibl,2023-05-06 07:20:00,twitter,"Hopeful, BrighterTomorrows",15,30,india,Positive,0,1,3,2
289,play juggl respons circu perform balanc act work joy toss laughter air,2019-11-18 15:15:00,instagram,"Playful, JugglingResponsibilities",25,50,usa,Positive,1,0,3,5
290,whisper tale inspir star storytel craft constel thread imagin,2020-08-29 20:45:00,facebook,"Inspired, TalesToTheStars",14,28,uk,Neutral,0,0,1,4
291,chart cours wave hope anticip sailor steer toward shore dream yet unexplor,2022-10-30 11:40:00,twitter,"Hopeful, SailorOfDreams",17,34,australia,Positive,0,1,3,0
292,compassion rain tear empathi fall gentli nurtur seed kind garden human connect,2021-07-01 12:10:00,instagram,"Compassionate, TearsOfEmpathy",21,42,canada,Neutral,1,0,1,1
293,proudli scale peak achiev mountain conquer challeng plant flag success,2020-01-05 08:45:00,twitter,"Proud, ScalingPeaks",23,46,usa,Positive,0,1,3,5
294,embrac hope dawn garden sow seed optim tend bloom brighter tomorrow,2022-07-17 06:15:00,instagram,"Hopeful, SeedsOfOptimism",14,28,india,Positive,1,0,3,2
295,play escapad carniv life carousel laughter cotton candi dream swirl joyou atmospher,2018-08-22 17:20:00,facebook,"Playful, CarnivalEscapade",24,48,australia,Positive,0,0,3,0
296,drown abyss despair heart shatter fragment lost echo silenc hopeless,2021-09-15 16:00:00,instagram,"Despair, EchoingSilence",8,16,canada,Negative,1,0,0,1
297,bitter fester like venom vine entwin soul web resent poison garden peac,2019-03-08 14:20:00,facebook,"Bitterness, ResentmentWeb",12,24,uk,Other,0,0,2,4
298,wander desert loneli step heavi sigh mirag connect shimmer never materi,2017-07-20 11:45:00,twitter,"Loneliness, MiragesOfConnection",15,30,usa,Negative,0,1,0,5
299,yearn touch echo distant warmth haunt heart cold embrac solitud,2020-11-02 19:30:00,instagram,"Yearning, DistantWarmth",10,20,australia,Other,1,0,2,0
300,eye wide open night fear shadow danc wall mind prison imagin horror,2022-05-12 02:00:00,facebook,"Fearful, ImaginedHorrors",18,36,india,Negative,0,0,0,2
301,apprehens step tightrop uncertainti balanc act fall seem inevit anxieti constant companion,2023-04-08 13:15:00,twitter,"Apprehensive, BalancingAct",14,28,uk,Other,0,1,2,4
302,overwhelm weight world atla trembl shoulder respons boulder landscap exhaust,2021-06-25 17:50:00,instagram,"Overwhelmed, BouldersOfExhaustion",22,44,canada,Negative,1,0,0,1
303,jealousi monster lurk shadow cast dark cloud sunshin other success,2019-08-30 10:10:00,facebook,"Jealous, GreenEyedMonster",16,32,usa,Negative,0,0,0,5
304,devast storm betray wreckag trust scatter like debri heart torn wind broken promis,2022-08-03 15:30:00,twitter,"Devastated, WindsOfBrokenPromises",25,50,australia,Negative,0,1,0,0
305,frustrat finger tap keyboard symphoni annoy compos unsolv puzzl unmet expect,2020-12-17 09:20:00,instagram,"Frustrated, UnsolvablePuzzle",12,24,india,Negative,1,0,0,2
306,enviou eye fixat gild prize heartach fuel pain desir possess seem forev reach,2021-02-28 22:45:00,facebook,"Envious, GildedPrize",20,40,usa,Negative,0,0,0,5
307,dismiss glanc fortress built indiffer wall impenetr plea understand recognit,2018-05-10 14:00:00,twitter,"Dismissive, ImpenetrableWalls",14,28,uk,Other,0,1,2,4
308,shatter dream lie floor like fragment glass mosaic disappoint craft hand frustrat,2022-01-07 11:10:00,instagram,"Frustrated, MosaicOfDisappointment",15,30,canada,Negative,1,0,0,1
309,loneli silent companion night echo chamber solitud heart solitari nocturn,2019-09-19 03:30:00,facebook,"Loneliness, SolitaryNocturne",18,36,australia,Negative,0,0,0,0
310,fear whisper dark mind haunt specter unknown shadow danc rhythm anxieti tune,2023-07-14 23:00:00,twitter,"Fearful, SpecterOfTheUnknown",13,26,uk,Negative,0,1,0,4
311,bitter bitter aftertast linger tongu word remind wound refus heal pass time,2020-04-05 16:20:00,instagram,"Bitterness, BitterAftertaste",10,20,india,Other,1,0,2,2
312,overwhelm cacophoni expect drown soul tempest pressur struggl stay afloat,2021-11-29 08:45:00,facebook,"Overwhelmed, DrowningSoul",20,40,usa,Negative,0,0,0,5
313,jealousi venom seep vein poison heart turn breed ground discont,2019-12-12 17:00:00,twitter,"Jealous, HeartOfDiscontent",16,32,australia,Negative,0,1,0,0
314,devast revel betray trust shatter like fragil glass leav shard pain wake,2022-05-20 14:50:00,instagram,"Devastated, ShatteredTrust",25,50,canada,Negative,1,0,0,1
315,frustrat attempt mend broken connect thread understand slip finger like grain sand,2020-09-03 12:15:00,facebook,"Frustrated, SlippingThreads",14,28,uk,Negative,0,0,0,4
316,enviou gaze cast upon podium success bitter pill swallow tast linger constant remind unattain height,2021-02-10 19:30:00,twitter,"Envious, BitterPill",20,40,usa,Negative,0,1,0,5
317,dismiss gestur curtain drawn shield vulner stage emot take backseat perform indiffer,2018-08-18 14:40:00,instagram,"Dismissive, IndifferencePerformance",12,24,australia,Other,1,0,2,0
318,despair like heavi fog envelop everi thought blur path ahead journey labyrinth utter hopeless,2022-02-28 21:00:00,facebook,"Despair, LabyrinthOfHopelessness",8,16,canada,Negative,0,0,0,1
319,bitter bitter chill air freez moment icicl resent dangl precari landscap memori,2019-10-15 10:30:00,twitter,"Bitterness, IciclesOfResentment",15,30,uk,Other,0,1,2,4
320,loneli solitari moon starless sky cast cold glow landscap isol echo bounc empti space,2017-12-01 18:50:00,instagram,"Loneliness, StarlessSky",18,36,usa,Negative,1,0,0,5
321,yearn warmth vanish sun heartach paint hue sunset never grace horizon,2020-04-18 16:15:00,facebook,"Yearning, HuesOfSunset",10,20,australia,Other,0,0,2,0
322,fear eye scan shadow prison night terror lurk monster born mind darkest corner,2023-01-07 03:30:00,twitter,"Fearful, LurkingMonsters",18,36,india,Negative,0,1,0,2
323,apprehens whisper wind forecast uncertainti mind weather vane spin wildli storm doubt,2021-06-10 10:00:00,instagram,"Apprehensive, StormOfDoubt",14,28,canada,Other,1,0,2,1
324,overwhelm maze expect minotaur pressur lurk labyrinth wait devour spirit resili,2020-02-22 15:20:00,facebook,"Overwhelmed, MinotaurOfPressure",22,44,usa,Negative,0,0,0,5
325,jealousi fester wound pain intensifi glanc garden other achiev bloom beyond fenc,2018-03-17 14:45:00,twitter,"Jealous, BloomingAchievements",16,32,uk,Negative,0,1,0,4
326,devast heart ruin echo shatter dream reverber chamber requiem whole,2022-10-28 11:15:00,instagram,"Devastated, EchoesOfShatteredDreams",25,50,australia,Negative,1,0,0,0
327,frustrat attempt untangl knot confus thread understand slip labyrinth miscommun,2020-11-01 12:30:00,facebook,"Frustrated, LabyrinthOfMiscommunication",14,28,india,Negative,0,0,0,2
328,enviou eye lock treasur chest opportun heartach fuel desir key seem forev elus,2021-01-15 22:10:00,twitter,"Envious, DesireForKeys",20,40,usa,Negative,0,1,0,5
329,dismiss gestur curtain drawn shield vulner stage emot take backseat perform indiffer,2018-08-18 14:00:00,instagram,"Dismissive, IndifferencePerformance",12,24,australia,Other,1,0,2,0
330,shatter dream lie floor like fragment glass mosaic disappoint craft hand frustrat,2022-01-07 11:10:00,twitter,"Frustrated, MosaicOfDisappointment",15,30,canada,Negative,0,1,0,1
331,loneli silent companion night echo chamber solitud heart solitari nocturn,2019-09-19 03:30:00,facebook,"Loneliness, SolitaryNocturne",18,36,australia,Negative,0,0,0,0
332,breathtak sunris mountain,2022-04-03 06:15:00,instagram,"Awe, BreathtakingSunrise",28,55,usa,Neutral,1,0,1,5
333,navig challeng determin,2023-10-12 10:30:00,twitter,"Determination, Challenges",15,30,canada,Other,0,1,2,1
334,nostalgia hit flip old photo album,2019-06-28 19:00:00,facebook,"Nostalgia, OldMemories",22,45,uk,Neutral,0,0,1,4
335,thrill wit grandeur cultur festiv,2020-09-15 14:45:00,instagram,"Thrill, CulturalCelebration",40,80,india,Neutral,1,0,1,2
336,calm found rhythm raindrop windowpan,2017-11-08 21:20:00,twitter,"Calmness, RainyDays",18,35,australia,Neutral,0,1,1,0
337,overwhelm support receiv person challeng,2021-05-20 17:30:00,facebook,"Overwhelmed, SupportiveCommunity",25,50,usa,Negative,0,0,0,5
338,excit build countdown vacat begin,2023-01-10 12:00:00,instagram,"Excitement, VacationCountdown",30,60,other,Positive,1,0,3,3
339,reflect life journey grate lesson learn,2018-12-05 08:45:00,twitter,"Gratitude, LifeLessons",35,70,other,Positive,0,1,3,3
340,bittersweet emot aris bid farewel dear friend,2020-03-15 18:30:00,instagram,"Bittersweet, Farewell",20,40,other,Other,1,0,2,3
341,curios spark explor mysteri ancient ruin,2016-08-22 15:10:00,facebook,"Curiosity, AncientDiscovery",18,35,other,Neutral,0,0,1,3
342,admir intric detail handcraft masterpiec,2019-08-20 16:00:00,instagram,"Admiration, HandcraftedArt",25,50,usa,Positive,1,0,3,5
343,overjoy warmth cozi fireplac winter even,2021-12-08 19:30:00,twitter,"Overjoyed, WinterWarmth",18,35,canada,Positive,0,1,3,1
344,inspir strike observ color vibrant sunset,2020-06-10 20:45:00,instagram,"Inspiration, ColorfulSunset",30,60,uk,Neutral,1,0,1,4
345,motiv achiev fit goal invigor workout,2022-02-28 07:15:00,facebook,"Motivation, FitnessGoals",40,80,australia,Neutral,0,0,1,0
346,gratitud simpl joy found cup morn coffe,2017-04-15 08:00:00,twitter,"Gratitude, MorningCoffee",22,45,india,Positive,0,1,3,2
347,feel empow conquer challeng hike trail,2018-09-05 14:20:00,instagram,"Empowerment, HikingAdventure",35,70,usa,Positive,1,0,3,5
348,amus antic play kitten playtim,2022-10-22 12:45:00,facebook,"Amusement, PlayfulKittens",15,30,canada,Positive,0,0,3,1
349,contempl life mysteri starri night sky,2016-07-02 23:30:00,twitter,"Contemplation, StarryNight",28,55,uk,Other,0,1,2,4
350,joy reunion friend year separ,2020-11-18 17:10:00,instagram,"JoyfulReunion, Friendship",20,40,india,Other,1,0,2,2
351,excit build prepar surpris celebr,2023-03-05 15:00:00,facebook,"Excitement, SurpriseCelebration",30,60,australia,Positive,0,0,3,0
352,satisfact deriv success complet diy project,2015-12-01 11:30:00,twitter,"Satisfaction, DIYProject",25,50,usa,Positive,0,1,3,5
353,feel bless support commun time need,2021-09-10 09:45:00,instagram,"Blessed, SupportiveCommunity",18,35,uk,Other,1,0,2,4
354,captiv seren tranquil garden full bloom,2018-05-12 14:20:00,facebook,"Serenity, TranquilGarden",22,45,canada,Other,0,0,2,1
355,anticip upcom adventur exot destin,2022-07-25 10:00:00,twitter,"Anticipation, AdventureAwaits",40,80,india,Neutral,0,1,1,2
356,reflect person growth achiev life experi,2019-03-08 18:30:00,instagram,"Reflection, PersonalGrowth",35,70,usa,Other,1,0,2,5
357,nostalg memori flood revisit childhood favorit,2017-01-28 21:15:00,facebook,"Nostalgia, ChildhoodFavorites",20,40,australia,Neutral,0,0,1,0
358,appreci vibrant cultur experienc travel,2016-11-14 13:45:00,twitter,"Appreciation, CulturalExperience",28,55,uk,Other,0,1,2,4
359,confid soar overcom public speak anxieti,2020-04-02 17:30:00,instagram,"Confidence, OvercomingAnxiety",15,30,usa,Other,1,0,2,5
360,content midst famili gather fill laughter,2023-01-15 19:00:00,facebook,"Contentment, FamilyLaughter",25,50,canada,Positive,0,0,3,1
361,enthusiasm learn new skill expand knowledg,2018-08-07 12:15:00,twitter,"Enthusiasm, SkillBuilding",30,60,india,Positive,0,1,3,2
362,surpris delight discov hidden gem citi,2019-10-18 16:45:00,instagram,"Surprise, HiddenGem",18,35,uk,Neutral,1,0,1,4
363,sens accomplish complet challeng workout,2022-06-30 07:00:00,facebook,"Accomplishment, FitnessSuccess",22,45,australia,Neutral,0,0,1,0
364,wonder beauti doubl rainbow rain,2017-06-12 18:20:00,twitter,"Wonderment, DoubleRainbow",35,70,usa,Other,0,1,2,5
365,optim bright futur amidst challeng time,2021-07-05 09:30:00,instagram,"Optimism, BrightFuture",20,40,canada,Other,1,0,2,1
366,pride achiev person mileston career progress,2016-04-15 14:50:00,facebook,"Pride, CareerMilestone",28,55,uk,Positive,0,0,3,4
367,happi bloom like flower garden sunni day,2020-02-10 11:15:00,twitter,"Happiness, SunnyDay",15,30,india,Positive,0,1,3,2
368,elat discov rare book quaint bookstor,2018-09-22 16:30:00,instagram,"Elation, RareBookDiscovery",40,80,usa,Positive,1,0,3,5
369,curios piqu mysteri ancient archaeolog site,2015-11-08 10:00:00,facebook,"Curiosity, AncientMysteries",18,35,australia,Neutral,0,0,1,0
370,mesmer cosmic danc firefli moonlit night,2022-08-10 22:00:00,instagram,"Enchantment, CosmicFireflies",25,50,other,Other,1,0,2,3
371,intrigu symphoni color abstract art exhibit,2019-04-05 17:30:00,twitter,"Intrigue, AbstractArt",18,35,other,Other,0,1,2,3
372,giggl joy echo air children playdat,2020-12-15 15:45:00,facebook,"PlayfulJoy, ChildrensPlaydate",22,45,other,Other,0,0,2,3
373,envelop seren practic mind lake,2017-10-20 08:15:00,instagram,"Mindfulness, LakeTranquility",35,70,canada,Other,1,0,2,1
374,chase dream like kite soar high vast open sky,2021-02-28 13:00:00,twitter,"DreamChaser, SkyHighDreams",30,60,australia,Other,0,1,2,0
375,spellbound eleg ballroom danc crystal chandeli,2018-06-12 20:30:00,facebook,"Elegance, BallroomDance",28,55,uk,Other,0,0,2,4
376,whimsic delight world fairi tale magic creatur,2016-03-08 14:20:00,instagram,"Whimsy, MagicalWorld",20,40,usa,Other,1,0,2,5
377,pensiv contempl amid ancient ruin forgotten civil,2023-04-18 17:10:00,twitter,"Pensive, AncientCivilization",18,35,other,Other,0,1,2,3
378,embrac thrill speed rollercoast exhilar twist,2020-07-25 12:45:00,facebook,"Thrill, RollercoasterAdventure",22,45,other,Neutral,0,0,1,3
379,harmoni reson musician play melodi uniti togeth,2019-11-30 19:30:00,instagram,"Harmony, MusicalUnity",35,70,other,Other,1,0,2,3
380,burst creativ quiet solitud artist studio,2015-09-01 16:00:00,twitter,"Creativity, ArtistsHaven",15,30,other,Neutral,0,1,1,3
381,radiant joy akin bloom flower spring morn,2022-05-05 10:15:00,facebook,"Radiance, SpringBlooms",25,50,other,Other,0,0,2,3
382,sens wonder vast cosmo stargaz night,2018-07-08 23:00:00,instagram,"Wonder, StargazingAdventure",40,80,other,Other,1,0,2,3
383,rejuven salti breez sound wave seasid,2021-09-20 14:30:00,twitter,"Rejuvenation, SeasideEscape",18,35,other,Other,0,1,2,3
384,whisper inspir rustl leav seren forest,2016-11-15 11:45:00,facebook,"Inspiration, ForestWhispers",28,55,other,Neutral,0,0,1,3
385,savor warmth cup cocoa chilli winter even,2020-01-12 18:00:00,instagram,"Coziness, WarmWinterEvening",30,60,other,Other,1,0,2,3
386,heartfelt gratitud laughter share famili reunion,2017-12-28 19:15:00,facebook,"Gratitude, FamilyLaughter",22,45,other,Positive,0,0,3,3
387,embark culinari adventur savor exot flavor around world,2019-03-02 20:20:00,twitter,"Adventure, CulinaryJourney",35,70,other,Other,0,1,2,3
388,euphoria flood final puzzl piec click place,2022-06-08 15:30:00,instagram,"Euphoria, PuzzleCompletion",20,40,other,Other,1,0,2,3
389,grandeur ancient cathedr intric architectur,2018-08-18 14:45:00,facebook,"Awe, ArchitecturalGrandeur",18,35,other,Neutral,0,0,1,3
390,captiv ether beauti field fill firefli,2022-08-10 22:00:00,instagram,"Enchantment, FireflyField",25,50,other,Other,1,0,2,3
391,immers enchant melodi street musician violin,2019-04-05 17:30:00,twitter,"Melodic, StreetMusic",18,35,other,Other,0,1,2,3
392,joy laughter reson live summer carniv,2020-12-15 15:45:00,facebook,"FestiveJoy, SummerCarnival",22,45,other,Other,0,0,2,3
393,explor univers within mind medit session,2017-10-20 08:15:00,instagram,"InnerJourney, MeditationBliss",35,70,canada,Other,1,0,2,1
394,soar like free spirit wind coastal cliff,2021-02-28 13:00:00,twitter,"Freedom, CoastalAdventure",30,60,australia,Other,0,1,2,0
395,dazzl eleg masquerad ball dazzl costum,2018-06-12 20:30:00,facebook,"Dazzle, MasqueradeElegance",28,55,uk,Other,0,0,2,4
396,whimsic delight world whimsic fairi tale,2016-03-08 14:20:00,instagram,"Whimsy, FairyTaleMagic",20,40,usa,Other,1,0,2,5
397,reflect contempl amid ruin forgotten era,2023-04-18 17:10:00,twitter,"Reflection, ForgottenEra",18,35,other,Other,0,1,2,3
398,ride adrenalin rush rollercoast wild twist,2020-07-25 12:45:00,facebook,"Adrenaline, RollercoasterThrills",22,45,other,Other,0,0,2,3
399,harmoni reson musician play symphoni uniti,2019-11-30 19:30:00,instagram,"Harmony, MusicalUnity",35,70,other,Other,1,0,2,3
400,burst artist creativ quietud artist studio,2015-09-01 16:00:00,twitter,"ArtisticBurst, StudioCreativity",15,30,other,Other,0,1,2,3
401,radiant joy akin blossom flower sunlit spring morn,2022-05-05 10:15:00,facebook,"Radiance, SpringBlooms",25,50,other,Other,0,0,2,3
402,vast cosmo stargaz night,2018-07-08 23:00:00,instagram,"Wonder, StargazingAdventure",40,80,other,Other,1,0,2,3
403,rejuven salti breez sound wave seasid,2021-09-20 14:30:00,twitter,"Rejuvenation, SeasideEscape",18,35,other,Other,0,1,2,3
